id,title,provider,duration_weeks,prerequisites,skill_tags,level,link,cost
c_001,Intro to Python,Coursera,6,None,python|programming,beginner,https://www.coursera.org/learn/python,free
c_002,SQL for Data Analysis,Udemy,4,None,sql|databases|joins,beginner,https://www.udemy.com/course/sql-data-analysis,paid
c_003,Data Engineering on GCP,Coursera,8,sql|python,data-engineering|etl|gcp,intermediate,https://www.coursera.org/learn/gcp-data-engineering,paid
c_004,Machine Learning Basics,edX,10,python|statistics,machine-learning|ai,intermediate,https://www.edx.org/learn/machine-learning,free
c_005,Advanced Java Programming,Udacity,12,java,java|oop|data-structures,advanced,https://www.udacity.com/course/java-programming,paid
c_006,Web Development Bootcamp,Codecademy,16,None,html|css|javascript,beginner,https://www.codecademy.com/learn/web-development,paid
c_007,Deep Learning Specialization,Coursera,12,python|ml,deep-learning|neural-networks,advanced,https://www.coursera.org/specializations/deep-learning,paid
c_008,Cloud Practitioner Essentials,AWS,6,None,cloud|aws,beginner,https://www.aws.training/Details/Curriculum?id=20685,free
c_009,Introduction to Cybersecurity,Cisco,4,None,cybersecurity|networking,beginner,https://www.netacad.com/courses/cybersecurity,free
c_010,Data Structures in Python,Udemy,5,python,data-structures|algorithms,beginner,https://www.udemy.com/course/data-structures-python,paid
c_011,DevOps Essentials,Udacity,8,linux|git,devops|ci-cd,intermediate,https://www.udacity.com/course/devops-fundamentals,paid
c_012,Frontend Developer Path,Codecademy,20,None,html|css|javascript|react,beginner,https://www.codecademy.com/learn/paths/front-end-engineer-career-path,paid
c_013,Google Data Analytics,Google,8,None,data-analysis|sql|excel,beginner,https://www.coursera.org/professional-certificates/google-data-analytics,free
c_014,Full Stack Web Development,edX,24,html|css,full-stack|node|react,intermediate,https://www.edx.org/boot-camps/web-development,paid
c_015,AI for Everyone,Coursera,4,None,ai|ml,beginner,https://www.coursera.org/learn/ai-for-everyone,free
c_016,React – The Complete Guide,Udemy,10,javascript,react|frontend,intermediate,https://www.udemy.com/course/react-the-complete-guide,paid
c_017,Power BI Data Visualization,Udemy,3,None,power-bi|dashboards|visualization,beginner,https://www.udemy.com/course/powerbi-data-visualization,paid
c_018,Natural Language Processing,Coursera,6,python|ml,nlp|deep-learning,advanced,https://www.coursera.org/learn/nlp-sequence-models,paid
c_019,Operating Systems NPTEL,NPTEL,12,None,os|processes|threads,intermediate,https://nptel.ac.in/courses/106106144,free
c_020,Computer Networks NPTEL,NPTEL,12,None,networking|tcp-ip,intermediate,https://nptel.ac.in/courses/106105183,free
c_021,Data Mining,edX,8,statistics|python,data-mining|clustering,intermediate,https://www.edx.org/learn/data-mining,free
c_022,Backend Development with Node.js,Coursera,5,javascript,nodejs|backend,beginner,https://www.coursera.org/learn/nodejs,free
c_023,Android App Development,Kotlin Academy,10,None,android|kotlin|mobile,beginner,https://developer.android.com/courses,free
c_024,iOS App Development,Udacity,12,swift,ios|swift|mobile-dev,intermediate,https://www.udacity.com/course/ios-developer-nanodegree,paid
c_025,Ethical Hacking,Udemy,6,networking,ethical-hacking|cybersecurity,intermediate,https://www.udemy.com/course/ethical-hacking,paid
c_026,Blockchain Basics,Coursera,4,None,blockchain|distributed-systems,beginner,https://www.coursera.org/learn/blockchain-basics,free
c_027,Big Data with Hadoop,Udemy,10,java|linux,hadoop|spark|big-data,intermediate,https://www.udemy.com/course/hadoop-and-big-data,paid
c_028,Google Cloud Architect,Google,12,linux|networking,gcp|cloud-architecture,advanced,https://www.coursera.org/professional-certificates/cloud-architect,paid
c_029,Docker & Kubernetes,Udemy,7,linux|docker,kubernetes|containers,intermediate,https://www.udemy.com/course/docker-kubernetes,paid
c_030,Statistics for Data Science,Coursera,5,None,statistics|probability,beginner,https://www.coursera.org/learn/statistics-data-science,free
c_031,Excel to MySQL Analytics,Coursera,8,None,excel|sql|analytics,beginner,https://www.coursera.org/specializations/excel-mysql,paid
c_032,TensorFlow Developer Certificate,DeepLearning.AI,12,python|ml|dl,tensorflow|deep-learning,advanced,https://www.coursera.org/professional-certificates/tensorflow-in-practice,paid
c_033,Graph Theory NPTEL,NPTEL,8,None,maths|graph-theory,intermediate,https://nptel.ac.in/courses/111107135,free
c_034,Compiler Design,NPTEL,12,None,compilers|lexical-analysis,advanced,https://nptel.ac.in/courses/106104123,free
c_035,C++ Programming,Udemy,6,None,cpp|oop,beginner,https://www.udemy.com/course/cpp-programming,paid
c_036,STL in C++,Udemy,4,cpp,cpp|stl|algorithms,intermediate,https://www.udemy.com/course/cpp-stl,paid
c_037,Git & GitHub Masterclass,Coursera,3,None,git|github|version-control,beginner,https://www.coursera.org/learn/introduction-git-github,free
c_038,Agile Project Management,Google,4,None,agile|scrum,beginner,https://www.coursera.org/professional-certificates/agile-project-management,free
c_039,Discrete Mathematics,NPTEL,12,None,discrete-math|logic,intermediate,https://nptel.ac.in/courses/111106086,free
c_040,JavaScript Algorithms,Udemy,5,javascript,algorithms|javascript,intermediate,https://www.udemy.com/course/javascript-algorithms,paid
c_041,Google UX Design Course,Google,12,None,ux|ui|design,beginner,https://www.coursera.org/professional-certificates/google-ux-design,free
